"","V1","V2"
"34","Regeringen har beslutat att ge MSB, Myndigheten för samhällsskydd och beredskap, möjlighet att begära internationell hjälp för att bekämpa bränderna i Sverige från länder utanför EU.
- @SwedishPM","socialdemokrat"
"35","Läget är ansträngt men i dagsläget hanterbart, mkt tack vare kommunala omprioriteringar i äldreomsorgens arbete. Det är en av flera slutsatser efter gårdagens besök i Tierp och Uppsala och mitt möte med länsstyrelsen om torkan och brandrisken.","socialdemokrat"
"36","Den där gången Statsministern gjorde entré i svetsarmundering.","socialdemokrat"
"37","Istället för att sänka skatter för de som har mest, så kommer vi lägga våra gemensamma skattepengar på fler ambulanser och ambulanshelikoptrar.","socialdemokrat"
"38","Jas Gripen-plan bombade på onsdagen branden på Trängslets skjutfält i Dalarna - för att kväva elden.","socialdemokrat"
"39","Undersköterskornas arbete utgör en ovärderlig del av vård och omsorg. Det är undersköterskorna som ser till att våra äldre får en trygg omsorg. De förtjänar bättre. De förtjänar tryggare anställningar, bättre arbetsvillkor och fler kollegor. 
- @shekarabi","socialdemokrat"
"40","Besök vid Hasselparkens äldreboende. Värmen påverkar både personalen, de boende och arbetet. Här kom en ny AC enhet idag, en till kommer nästa vecka. Avslutade med vattenmelon & vatten med Astrid, Lars och Gunhild. Nu vidare till Tierps vårdcentral och sen möte med lantbrukare.","socialdemokrat"
"41","Brandrisken är extrem hög även i Mälardalen och södra Sverige. Vi behöver alla ta ansvar och följa det skärpta eldningsförbudet.","socialdemokrat"
"42","Idag besökte Stefan Löfven Södertörns brandförsvarsförbund. De bidrar med resurser till drabbade områden samtidigt som man står i beredskap att snabbt agera om bränder skulle uppstå i Mälardalen.","socialdemokrat"
"43","Vi kommer inte att ha något samarbete med Sverigedemokraterna och inte att göra oss beroende av dem heller, just för att vi ser vilka värderingar de företräder.","socialdemokrat"
"44","Vi ska sätta stopp för en utveckling där skolor sätter glädjebetyg, där det sker en ökad sortering av elever utifrån föräldrarnas bakgrund och där skolor plötsligt kan läggas ner när riskkapitalister tappar intresset. #stoppavinstjakten","socialdemokrat"
"45","Det handlar också om den nya lagstiftningen, samtyckeslagstiftningen, där måste det finnas en kunskap hos allmänheten så att man vet att man kan anmäla och att man känner att man har lagen på sin sida.
- @lenahallengren","socialdemokrat"
"46","Dels måste samhället markera i form av påföljd och straff med den avskräckande effekt som det har... men också vill vi ju också se till så att det inte inträffar genom att förebygga med attityder, värderingar.
-  @lenahallengren om mäns våld mot kvinnor.","socialdemokrat"
"47","Viktigt att skaffa sig en egen bild av läget om hur värmen påverkar äldreomsorgen och vårdens arbete. Idag besök på äldreboende i Uppsala och sen Tierps vårdcentral. Ska också få en lägesrapport av länsstyrelsen om den övergripande beredskapen för att hantera värmen och torkan.","socialdemokrat"
"48","Ser inslag i #rapport och häpnar över uttalandet från Oscarsson (KD). Hultqvist gav besked idag: 7 av 8 helikopterbesättningar deltar i släckningsarbetet. Försvarsmakten  har de befogenheter som krävs för att agera. Det krävs inga nya regeringsbeslut.","socialdemokrat"
"49","Regeringen skjuter till hundratals miljoner till kommunerna. Resurser som behövs för räddningstjänst och brandsläckning.","socialdemokrat"
"50","EU countries and other neighbours have responded with incredible solidarity to the fires raging in Sweden. I hope the same will be done to help fight the fires in Greece at this difficult time. My thoughts are with all those affected. We stand with Greece.","socialdemokrat"
"51","Regeringen vill komplettera Sjöfartsverkets räddningshelikoptrar med de krokar som behövs för att de ska kunna användas i släckning av skogsbränder.
https://t.sr.se/2LMRYaj ","socialdemokrat"
"52","Our thoughts are with the victims of the wildfires in Greece. Heroic deeds are being performed around Europe. EU cooperation at its best.","socialdemokrat"
"53","”Vi är beredda att pröva alla vägar för att förstärka räddningskapaciteten” - <U+2066>@TomasEneroth<U+2069>","socialdemokrat"
"54","Stöd till kommunerna och till frivilligorganisationerna. Idag presenterade @johanssonmorgan och Peter Hultqvist ett antal åtgärder med anledning av skogsbränderna:","socialdemokrat"
"55","Försvarsminister Hultqvist på presskonferensen idag. Om besöken i brandhärjade områden.","socialdemokrat"
"56","Det har också gjorts och görs fantastiska insatser från flera frivilligorganisationer. Regeringen kommer därför förstärka resurserna till frivilligorganisationerna.","socialdemokrat"
"57","Regeringen kommer att ersätta kommunerna för ökade kostnader med anledning av skogsbränderna:","socialdemokrat"
"58","Idag 9.30 håller justitie- och inrikesminister @johanssonmorgan och försvarsminister Peter Hultqvist en pressträff med anledning av de pågående skogsbränderna.","socialdemokrat"
"59","Försvarsmaktens ställföreträdande insatschef Urban Molin besökte tillsammans med försvarsminister Peter Hultqvist i dag Ljusdal där flera myndigheter och organisationer arbetar med brandbekämpning. #svfm","socialdemokrat"
"60","Läs @SwedishPM inlägg om besöket i Brattsjö:
https://www.facebook.com/8040892957/posts/10156630466377958/ …","socialdemokrat"
"61","Fick också en genomgång av läget i de två brandområdena utanför Sveg, av insatschefen Leif Ekström. Man har kontroll över bränderna och man har bra resurser, men det varma vädret kan förvärra situationen igen.","socialdemokrat"
"62","Besökte idag Sveg, och fick tillfälle att personligen tacka alla de polska brandmän som kom dit igår för att hjälpa oss med bränderna. Över 130 brandmän och 40 fordon! Såhär ser EU-samarbete och internationell solidaritet ut! Stort tack!","socialdemokrat"
"63","– När det börjar mattas av ska vi göra analyser och se vad som vi behöver göra, men det är helt klart att vi måste höja vår beredskap, vi kommer få se mer av extremväder.
<U+2066>@SwedishPM<U+2069>","socialdemokrat"
"64","Stefan Löfven besökte brandhärjade Brattsjö idag. ”Markägarna ska inte lämnas åt sitt öde”.","socialdemokrat"
"65","Med anledning av torkan och bränderna besöker Försvarsminister Peter Hultqvist tillsammans med Försvarsmaktens ställföreträdande insatschef Urban Molin insatsområdet i Ljusdal idag.","socialdemokrat"
"66",".@sr_ekot: Hultqvist: ""Försvarets insats nödvändig"" https://t.sr.se/2JMISbO ","socialdemokrat"
"67","Äldres verkliga behov måste komma först i extremvärmen. Är på Äldreboende i Hägersten där de ser till att ta mycket pauser så att de får mer tid tillsammans med de äldre och kan se till så att de får ordentligt med vatten. Klokt och helt rätt prioritering i denna värme.","socialdemokrat"
"68","""Det är hög tid att sluta diskriminera svenska bönder."" - @shekarabi
https://www.facebook.com/Shekarabi.Ardalan/posts/1836803366367735 …","socialdemokrat"
"69","”Om en mann kan vise så mye hat, tenk hvor mye kjærlighet vi alle kan vise sammen.” Ännu ett år har gått sedan terrordådet på Utøya, då barn och ungdomar kallblodigt mördades för att de var socialdemokrater. Deras längtan efter frihet och jämlikhet är vår.","socialdemokrat"
"70","EU and Nordic cooperation is good for many things, it also means solidarity in crises. 

Thank you Italy , France , Norway , Denmark , Germany , Lithuania  and Poland  for helping us fight ongoing forest fires in Sweden.","socialdemokrat"
"71","""Sveriges röst i världen är en omistlig del av vår nationella identitet."" - @margotwallstrom","socialdemokrat"
"72","Idag för 7 år sedan drabbades vi av vrede, sorg o förtvivlan när 70 unga människor avrättades av en nazistisk terrorist på Utöya. Hans avsikt var att skrämma o förlama oss alla. Norges ledare o folk mötte dådet med massiv uppslutning kring  demokratin. Starkt, lovvärt o viktigt.","socialdemokrat"
"73","Tänk att det redan har gått 7 år sedan den där förfärliga dagen då ondskan drabbade AUF på Utöya. Jag glömmer aldrig! Vi lever i en tid då kampen mot rasism och för alla människors lika värde aldrig varit viktigare. Engagera dig du också!","socialdemokrat"
"74","Idag är det 7 år sen terrordådet på Utøya där 69 AUF:are mördades - endast för att de var socialdemokrater. Skriver med @andreaTRNSTM om hur SSU vill föra minnet och den antirasistiska kampen vidare ","socialdemokrat"
"75","Idag minns vi offren från Utøya och Oslo. Terroristens mål var Arbetarrörelsens unga. Vi hedrar dem genom att fortsätta arbetet för demokrati, frihet och jämlikhet.","socialdemokrat"
"76","Hade möte idag om de äldres situation i värmen. Finns i dagsläget god beredskap hos myndigheterna men vi följer utvecklingen noggrant och har en tät dialog ifall någonting förändras och om åtgärder krävs.","socialdemokrat"
"77","En bra dag för räddningsledningen! Besök av ÖB, försvarsministern och vice statsministern. Bra möten, professionella och god dialog. All vår samlade personal gör ett mycket bra jobb! Har nu kl.18 dragit in ett av VMA-områdena! ","socialdemokrat"
"78","Försvarsministern och ÖB besökte Sveg för att bilda sig en uppfattning om brandbekämpningen. Det är många hjältar runt om i vårt land som gör fantastiska insatser för att få kontroll på bränderna. https://www.svt.se/nyheter/lokalt/jamtland/ob-och-forsvarsministern-i-sveg …","socialdemokrat"
"79","”När det gäller, då håller Sverige ihop”. 

Hela dagens pressträff med anledning av de pågående skogsbränderna: https://www.regeringen.se/pressmeddelanden/2018/07/lagesinformation-med-anledning-av-de-pagaende-skogsbranderna2/ …","socialdemokrat"
"80","Min. of Defence P. Hultqvist + Sup. Commander M. Bydén came to our Joint Crisis Management Operation Center to get a briefing and a better understanding what we are up against+how we work  together to fight one of the major forest fires in Sweden #skogsbrand @JohanSzymanski","socialdemokrat"
"81","Pressträff med Stefan Löfven med anledning av pågående skogsbränder:","socialdemokrat"
"82","Jag vill avsluta med en uppmaning till alla att vara oerhört försiktiga när ni är ute i skog och mark. Respektera eldningsförbudet, följ myndigheternas och kommunernas instruktioner för att verkligen vara på säkra sidan. - Stefan Löfven","socialdemokrat"
"83","Det är väldigt varmt, det är torrt och oerhört svårjobbat. Det är inget annat än hjälteinsatser vi ser här och runt om i landet. - Stefan Löfven","socialdemokrat"
"84","Stefan Löfven besöker Ljusdal med anledning av bränderna.
Följ live:","socialdemokrat"
"85","NY TID: 14.20","socialdemokrat"
"86","Idag besöker Stefan Löfven Ljusdal och kommunens branddrabbade områden. Hör statsministern om situationen kl 14.00 i SVT1.","socialdemokrat"
"87","Det finns bara en Göran Persson.","socialdemokrat"
"88","Talade i eftermiddags med EU-kommissionären Christos Stylianides om Sveriges begäran om ytterligare flyg för att bekämpa bränderna. Fick då besked om att Frankrike kan bistå med ytterligare två flygplan, som anländer imorgon torsdag. Mycket bra!","socialdemokrat"
"89",".@SwedishPM ""Ni gör hjälteinsatser i detta svåra läge.""
I morgon besöker statsministern de brandhärjade områdena.","socialdemokrat"
"90","Läs Stefan Löfvens ord om bränderna som härjar på många platser i landet: http://www.facebook.com/stefanlofven/posts/2326307500743464 …","socialdemokrat"
"91","Stark passage ur @SwedishPM
tal i Almedalen.","socialdemokrat"
"92","“Vi måste förstärka den modell vi har” - @johanssonmorgan #skogsbrand","socialdemokrat"
"93","Missade du @SwedishPM i 
QX? Rekommenderad  Pre#pride läsning.","socialdemokrat"
"94","""Vi ställer upp för våra svenska bönder!

Den socialdemokratiskt ledda regeringen kommer att ge ekonomiskt stöd till de lantbrukare som drabbats av torkan."" - Sven-Erik Bucht","socialdemokrat"
"95","@SocialdemLulea tar ansvar och med vår politk höjer lönerna för undersköterskor i hemtjänsten. Så gör vi jobbet mer attraktivt tillsammans med @FacketKommunal","socialdemokrat"
