"","V1","V2"
"34","”Mångfald är så mycket starkare än enfald. Vi låter inte nazisterna kidnappa vår demokrati.” - Gustav Fridolin talar på #mångfaldsparaden i #Almedalen ","miljopartiet"
"35","Vi är det land i världen som har skarpast miljö- och klimatpolitik! @karolinaskog hos @naturskyddsf om em ska ta ansvar i de stora miljöfrågorna när klockan tickar. https://www.facebook.com/naturskyddsforeningen/videos/10156201901396609/ …","miljopartiet"
"36","Även centerväljarna tycker att flyget ska bära sina klimatkostnader. Sund inställning som inte delas av Centerpartiets  ledning. #klimat #svpol","miljopartiet"
"37"," Ta bort flygskatt,
 Skära ner lokala klimatinvesteringar,
 Skära ner på stödet till natur,
 Ta bort var fjärde krona från miljöbudgeten.

Sverige har inte råd med Centerpartiets så kallade miljöpolitik.","miljopartiet"
"38","Gustav Fridolin vill ändra lagen efter NMR:s nya tillstånd i Almedalen https://www.expressen.se/nyheter/almedalen/fridolin-vill-andra-lagen-efter-nmrs-nya-polistillstand/?utm_medium=link&utm_campaign=social_sharing&utm_source=twitter&social=twtr … #Expressen via @Expressen","miljopartiet"
"39","Psykisk ohälsa är en av de största utmaningarna vi står inför i skolan. Miljöpartiet vill att staten skjuter till resurser och sluter avtal med SKL för att nå målet om en köfri barn- och ungdomspsykiatri. Fridolin om skolans utmaningar i @Lararforbundet debatt. #utpol","miljopartiet"
"40","Gustav Fridolin lyfter särskilt fler vägar in yrket som förskollärare på publikens fråga om lärarbristen i @Lararforbundet stora skoldebatt. #förskola #utbpol","miljopartiet"
"41","Fridolin: Om Moderaterna nu står bakom regeringens arbete med Samverkan för bästa skola, med stöd till skolor med störst behov, är det mycket välkommet. Men i tidigare budgetförslag har de varje gång skurit bort detta viktiga stöd. @Lararforbundet #utbpol","miljopartiet"
"42","Skolkommissionens förslag har förändrat skoldebatten. Vi behöver behandla skolpolitiken som vi hanterar försvarspolitiken, med breda överenskommelser som ger långsiktiga förutsättningar. Gustav Fridolin inleder @Lararforbundet skoldebatt i Almedalen. #utbpol","miljopartiet"
"43","Ska vi ge fler elever förutsättningar att klara en skolan måste vi bryta skolsegregation. Gemensam antagning, ändra kösystemet så barn inte måste köa från BB och placera nya skolor så de bryter segregation, inte spär på den. Fridolin i @lararnas skoldebatt i #Almedalen","miljopartiet"
"44","Fridolin: Länge har vi hört retoriken från L om större statligt ansvar, men de genomförde mycket lite. Nu har MP drivit fram direkt statligt stöd till skolor med svåra förutsättningar och statligt ansvar för finansieringen av jämlikheten i i skolan. @lararnas #utbpol","miljopartiet"
"45","För att vi ska kunna möta lärarbristen gäller det lönen, möjligheten för lärare till utveckling i yrket och arbetsmiljön! Gustav Fridolins inledning i LR:s stora skoldebatt @lararnas #utbpol","miljopartiet"
"46","Rasismen får aldrig normaliseras! Idag talar @IsabellaLovin på manifestationen i Kungsträdgården https://www.facebook.com/events/272130380015571/276578189570790/?notif_t=admin_plan_mall_activity&notif_id=1530280725528210 … #BackaDurmaz","miljopartiet"
"47","Om Lööf vill vara trovärdig i att stå upp för humanism och liberala värden så måste hon ge tydliga besked i frågan om vilken regering hon är beredd att släppa fram. #svpol","miljopartiet"
"48","Lööf måste välja om hon är för eller mot SD","miljopartiet"
"49","Här är våra valaffischer! Klimatet kan inte vänta. https://www.mp.se/just-nu/miljopartiets-valaffischer-2018 …","miljopartiet"
"50","Nu: vi släpper våra valaffischer! Följ live på https://www.facebook.com/miljopartiet/  Klimatet kan inte vänta.","miljopartiet"
"51","”Solidaritet kräver av oss att vi kan ställa oss i en annans skor. Förstå en annan människa. Bära insikten att det som i dag händer dig, kan i morgon hända mig”, skriver Gustav Fridolin. Läs hela artikeln här:","miljopartiet"
"52","Viktigt!  #miljö #klimat #nu https://www.facebook.com/miljopartiet/photos/a.10150363631476151.402199.34780126150/10157933832206151/?type=3&theater …","miljopartiet"
"53","Historiskt. Sådan glädje att fossilfritt stål nu kan bli verklighet, i Sverige! Med klimatlag, mål om 100% förnybar elproduktion och vårt stöd #Industriklivet går det från vision till verklighet. #klimat #svpol","miljopartiet"
"54","Burma, DRC, Sydsudan... Antalet flyktingar i världen har stigit med över 3 miljoner människor på ett år. Därför ger Sverige långsiktigt stöd till UNHCR, så att organisationen snabbare kan nå ut till dem i nöd. #WorldRefugeeDay2018","miljopartiet"
"55","#Nu tar vi krafttag för att bryta ungas psykiska ohälsa!","miljopartiet"
"56","""Den här valrörelsen handlar mycket om brott och straff. Det är såklart viktigt, men när så många unga mår dåligt måste vi klara att ha hårda tag också mot ungas psykiska ohälsa. Starkare elevhälsa, porrfri skola, köfri barn- och ungdomspsykiatri"", säger Gustav Fridolin i talet","miljopartiet"
"57","""2050 kan det vara mer plast än fisk i haven. Vi vill förbjuda onödiga plastartiklar, sätta avgift på engångsartiklar som kan bytas mot sådana man använder flera gånger. Vi vill också gå vidare och förbjuda mikroplaster i alla hushållsartiklar.""
- säger Fridolin i sitt sommartal","miljopartiet"
"58","""Sverige spelar allt större roll som exempel, inspiration, påtryckare.
Men mycket av miljöpolitiken är sånt som andra partier vill stoppa, skära ner eller prioritera bort. Det är lätt att säga att man är för miljön, men när besluten ska fattas backar många undan"", säger Fridolin","miljopartiet"
"59","""Nu är inte längre klimatförändringen  ett framtida kanske. Det är nu. Och det finns inte längre tid att vänta. Ingen tid att fly. Så låt oss fajtas."" Vårt språkrör Gustav Fridolin sommartalar i Vittsjö. Följ det live här:","miljopartiet"
"60","Vårt språkrör Gustav Fridolin sommartalar nu kl 13.00 i skånska Vittsjö. Du kan följa talet live här: https://www.facebook.com/gustavfridolin/videos/10160393417950034/ …","miljopartiet"
"61","FÖRBJUD MIKROPLASTER SOM TILLSÄTTS I PRODUKTER
Många vanliga hushållsprodukter innehåller mikroplaster. Plaster som sen rinner ut i avloppen och hittas i vatten över hela planeten. Det måste få ett slut. Vi vill förbjuda mikroplaster i produkter. #nu
https://www.tv4play.se/program/link/10038339 …","miljopartiet"
