"","V1","V2"
"40","Almedalen 2018 - Tema: sjukvård, lördag 7/7: http://youtu.be/jy0TdpyeOgk?a  via @YouTube","sdriks"
"41","Andra länders politiker ska inte styra över Sverige. Låt oss folkomrösta om vårt EU-medlemskap!","sdriks"
"42","MEDIA OM SD. ""Det verkar ha varit sverigedemokraternas dag hela veckan oavsett vilken partiledare som hållit sitt Almedalstal"". #svpol #Almedalen","sdriks"
"43","Almedalen 2018 - Fredag 6/7: http://youtu.be/zipGB8sZz1g?a  via @YouTube","sdriks"
"44","Almedalen 2018 - Debatt: SD-kvinnor mot S-kvinnor, fredag 6/7: http://youtu.be/-4ILKIo8YWg?a  via @YouTube","sdriks"
"45","I morgonens försvarsdebatt hävdade @philipbotstrom att SD är Sveriges största säkerhetshot. Det säger det mesta om regeringens oförmåga att se de hot vi står inför och agera för att säkerställa rikets säkerhet.","sdriks"
"46","Almedalen 2018 - Panelsamtal: psykisk ohälsa med Heberlein & Hermansson, fredag 6/7: http://youtu.be/k2ebwMvzN_4?a  via @YouTube","sdriks"
"47","Almedalen 2018 - Intervju med Roger Richtoff, fredag 6/7: http://youtu.be/NrmbIIfpcxQ?a  via @YouTube","sdriks"
"48","Almedalen 2018 - Presskonferens: Sjukförsäkring, fredag 6/7: http://youtu.be/6bqtnpHxkX8?a  via @YouTube","sdriks"
"49","https://nyheteridag.se/majoritet-av-valjarna-vill-forbjuda-boneutrop-svagt-stod-bland-partierna/ …","sdriks"
"50","Det var som fasen! Gymnasielagen är så dålig att domstolen inte använder den!","sdriks"
"51","Person som ska intervjua mig idag:","sdriks"
"52","KD är en smulbit.","sdriks"
"53","Almedalen 2018 - Fredag 6/7: http://youtu.be/v1fhVuI7Q0k?a  via @YouTube","sdriks"
"54","Almedalen 2018 - Fredag 6/7: http://youtu.be/ZWX9OK2B3bk?a  via @YouTube","sdriks"
"55","Almedalen 2018 - Presentation av valstrategi, fredag 6/7: http://youtu.be/Ld_W312Z4wM?a  via @YouTube","sdriks"
"56","#Almedalen","sdriks"
"57","Enbart en av fem utländska våldtäktsmän som är folkbokförda i Sverige utvisas. Vi kommer att se till att samtliga kriminella utlänningar utvisas.","sdriks"
"58","Sverigedemokraterna värnar om Sveriges pensionärer - på riktigt. 

https://www.sydsvenskan.se/2018-07-05/stefan-lofven-utlovar-garantier-om-70-procentiga-pensioner …","sdriks"
"59","Jätteviktigt, tom extremtviktigt att ni som överväger M inser detta.","sdriks"
"60","Godmorgon! 

Missa inte Jimmie Åkesson i Almedalen  denna morgon:

07.51 SVT Morgon
08.15 TT
09.00 SVD","sdriks"
"61","Almedalen 2018 - Torsdag 5/7: http://youtu.be/e_MSS1Ju7g0?a  via @YouTube","sdriks"
"62","Almedalen 2018 - Boksläpp: Det moderna folkhemmet, torsdag 5/7: http://youtu.be/n74axbeY2mU?a  via @YouTube","sdriks"
"63","Almedalen 2018 - Torsdag 5/7: http://youtu.be/Uy2M2yTX8Ug?a  via @YouTube","sdriks"
"64","","sdriks"
"65","Dag 2 av 4 (Torsdag) hos Sverigedemokraterna i Almedalen. 

Idag släpps bl.a. Jimmie Åkessons nya bok ”Det Moderna Folkhemmet”, missa inte det! Du finner oss på Strandgatan 15,Visby. 

Dagens schema:","sdriks"
"66","HÄRLIGT! Förhandlingsmandatet röstades ner så det blir en full omröstning om förslaget i september. Inget är alltså beslutat och alla aktörer får två månader till på sig att debattera det här förslaget. #svpol #eupol","sdriks"
"67","Almedalen 2018 - Analys av Annie Lööfs tal, torsdag 5/7: http://youtu.be/E-MYDoOv96w?a  via @YouTube","sdriks"
"68","""100% av LO:s medlemmar betalar sossarnas valkampanj.""

#Almedalen","sdriks"
"69","Hälsningar Almedalen","sdriks"
"70","","sdriks"
"71","Almedalen 2018 - Paneldiskussion: storstad, torsdag 5/7: http://youtu.be/S9wcLmFjX00?a  via @YouTube","sdriks"
"72","Hälsningar till @LOSverige från Sveriges arbetarparti!","sdriks"
"73","Almedalen 2018 - Frukostklubben, torsdag 5/7: http://youtu.be/9AequHCTJr4?a  via @YouTube","sdriks"
"74","Almedalen 2018 - Onsdag 4/7: http://youtu.be/czm7UmJXK6c?a  via @YouTube","sdriks"
"75","Annika Strandhäll skulle dela ut pris till de bäst placerade lagen i Almedalscupen. 
Ungsvenskarna blev tvåa och när prisen skulle delas ut dök hon inte upp. ","sdriks"
"76","Almedalen 2018 - Ungsvenskarna: ""Har det blivit inne att vara sverigedemokrat?"", onsdag 4/7: http://youtu.be/rP9qODPGw-I?a  via @YouTube","sdriks"
"77","Almedalen 2018 - Onsdag 4/7: http://youtu.be/UWeEZlydOow?a  via @YouTube","sdriks"
"78","Vi fortsätter att fördjupa och bredda kontakterna mellan oss och Dansk Folkeparti. Idag hade jag förmånen att träffa partisekreteraren, Poul Lindholm Nielsen här i Riksdagen. Intresset för valet den 9:e sep är stort i Danmark. Och det är väldigt många som hejar på oss :-)","sdriks"
"79","","sdriks"
"80","Vi kommer att göra Sverige tryggt igen! 

#SD2018

https://ww.politiet.no/globalassets/04-aktuelt-tall-og-fakta/drap/drapsoversikt-kripos-2017.pdf …

https://www.svt.se/special/dodsskjutningar-2017/ …","sdriks"
"81","SWEXIT NU! Folket ska få rösta om denna överstatliga union så snart det går och Kristina Winberg och Peter Lundgren kommer att rösta för att lämna denna union i omröstningen. #svpol #eupol","sdriks"
"82","Almedalen 2018 - Onsdag 4/7: http://youtu.be/9pj5Ead9d88?a  via @YouTube","sdriks"
"83","Almedalen 2018 - Onsdag 4/7: http://youtu.be/E7940oyNC-k?a  via @YouTube","sdriks"
"84","Under gårdagen var det två skjutningar i Malmö och en skjutning i Örebro. Den socialdemokratiska regeringen har tappat kontrollen över situationen i Sverige. Det kommer att krävas hårda tag för att få ordning igen. 

Vi är det enda trovärdiga valet för ett tryggt Sverige.","sdriks"
"85","We are pleased to welcome Peter Lundgren and Kristina Winberg as new members of our Group. Read a statement from our co-chair Ryszard Legutko here  https://bit.ly/2MMvjej  @sdriks","sdriks"
"86","Stora nyheter från Europaparlamentet! Vi är jätteglada över att byta grupp och föra vidare vårt arbete på en ännu större arena. Vi är nu med i den tredje största gruppen i EP. #ECR #svpol #eupol","sdriks"
"87","Oerhört viktigt steg för SD i EU-politiken. Vi blir nu partners med andra nordiska partier och flera regeringspartier i Europa.","sdriks"
"88","Sverigedemokraterna går med ECR i Europaparlamentet. 

Knyter däremot närmare kontakt med bland annat Sannfinländarna, Dansk Folkeparti, och Tories. Men i Sverige kan man inte ens samtala om viktiga samhällsfrågor som på riktigt behöver genomföras #svpol","sdriks"
"89","Kritiken från näringslivet saknar all form av relevans då vi är eniga kring vikten av handelsavtal via EU. 

Ytterst märklig analys att Liberalerna tror att de kommer gå framåt i sept. genom fokus på EU/euro. Nej, det kommer inte hjälpa er.

Dessutom EU-val 2019. Utmaning nu...?","sdriks"
"90","Sverigedemokraternas Magnus Persson intervjuas ang Karl-Petter Thorwaldssons agerande mot partiet i Almedalen. Magnus Persson har själv tidigare blivit utesluten ur Byggnads pga sitt politiska engagemang i Sverigedemokraterna.","sdriks"
"91","JAAAAA! Sverige vidare till Kvartsfinal. Starkt jobbat! Vilket spel, vilken turnering! :-) VM2018

 #SWESUI","sdriks"
"92","Fantastiskt! Vilken laginsats nu - precis som i hela turneringen - som i kvalet. Otroligt kul att se! Och defensiven. Vilken defensiv vi visar upp. Saknat det sen Mellberg\lucic. Heja Sverige!","sdriks"
"93","Underbart! Bra jobbat Sverige! ","sdriks"
"94","Lycka till, ni kommer att behöva det.","sdriks"
"95","Här kommer Nalles fantastiska tal! #svpol #eupol","sdriks"
"96","ALLA PÅ BOLLEN!!!","sdriks"
"97","Alla inkomster under 140.000 om året skattefria, om SD får bestämma!","sdriks"
"98","Alla har inte möjlighet att jobba längre upp i åldrarna, därför vill vi se en utökad flexibilitet när det kommer till pensionsåldern för våra äldre. De som vill och kan fortsätta arbeta upp i åldrarna ska uppmuntras till det.","sdriks"
"99","En vägrar ta kvinnlig reporter i hand. En annan vägrar stå bredvid SD-kvinna. Rödgrön värdegrund?","sdriks"
"100","LO:s ordförande Karl-Petter Thorwaldsson hoppade igår av från ett panelsamtal mot Paula Bieler. Det är beklagligt att LO inte vågar möta det parti som representerar minst en fjärdedel av LO:s medlemskår.","sdriks"
"101","Var väl ingen överraskning. Stefan vet ju inte ens vad han själv håller på med. ","sdriks"
"102","Nå, vad säger ni @RebeccaFiona? 

https://www.expressen.se/nyheter/almedalen/efter-kuppen-i-tv4-nu-utmanas-artisterna-av-ungsvenskarna/ …","sdriks"
"103","Jimmie gästar Glenn Hysén och Micke Målarn i podden Göttänna.

Lyssna du också!","sdriks"
"104","SVT listar partiledarnas form. Starkast går naturligtvis Jimmie och SD. 

Läs mer: https://www.svt.se/special/sa-ar-partiledarnas-form/ …","sdriks"
"105","Socialdemokraterna meddelade den 31 maj att ingen i den svenska regeringen skulle åka till fotbolls-VM. Den socialdemokratiska bojkotten blev dock inte långvarig. Nu när Sverige gått vidare från gruppspelet överger regeringen sitt tidigare beslut och skickar representater. #svpol","sdriks"
"106","Haha, vilken soppa. C & L pudlar och skyller allt på M. Hur i hela friden ska dessa kunna regera tillsammas? Sagt det förr och säger det igen, Alliansen är överspelad #svpol","sdriks"
"107","Då: Berikande mångfald!
Nu: Rent ut sagt åt helvete! 

Socialdemokrater har en trogen vana att förfäras över de samhällen som de själva format...
#svpol #016pol","sdriks"
