"","V1","V2"
"33",".@holmjens ""Försvarsmakten bör få i ett uppdrag att prioritera klimatanpassning, beredskapsarbete och kamp mot extremväder."" https://www.expressen.se/nyheter/val-2018/harda-kravet-pa-regeringen-bredda-forsvarets-uppdrag/?utm_medium=link&utm_campaign=social_sharing&utm_source=twitter&social=twtr … …","vansterpartiet"
"34","Vi tycker att det är ett mycket bra förslag av @vansterpartiet partiledare, Jonas Sjöstedt, att ta bort sjuklöneansvaret de 14 första dagarna. Generellt så har det varit väldigt få politiker som ens har nämnt ordet småföretagare hittills i valdebatten.","vansterpartiet"
"35","Jag älskar mitt land! Jag vill att din ekonomiska och sociala bakgrund inte ska vara ett hinder för din utveckling. Gör som jag bli en #sverigevän rösta på @vansterpartiet","vansterpartiet"
"36","Ett mycket välkommet förslag utav Jonas Sjöstedt Vänsterpartiet.
Vi vill ta bort sjukansvaret dom första 14 dagarna för dom mindre företagen samt att vi vill...","vansterpartiet"
"37","Utförsbacken för svensk välfärd började inte när unga lämnade Afghanistan för att komma undan förföljelse och förtyck. Den började när socialdemokraterna och högern tillsammans gjorde en marknad av välfärden. #dagensjonas","vansterpartiet"
"38","Så ser sann jämställdhetspolitik ut.","vansterpartiet"
"39","På fredag är Jonas Sjöstedt på plats på Närcon i Linköping. http://2018.narcon.se/ ","vansterpartiet"
"40","Om @vansterpartiet och kvinnorna får bestämma blir det nolltaxa, se @DN_Sthlm idag. Särskilt om fler får klart för sig att de flesta löntagare reser billigare om kostnaden läggs på skatten. Läs här  http://storstockholm.vansterpartiet.se/nolltaxa/ ","vansterpartiet"
"41","Varmt välkommen! Tillsammans kan vi skapa en ekonomi för alla, inte bara för de rikaste.","vansterpartiet"
"42","ETT SVERIGE FÖR ALLA - INTE BARA FÖR DE RIKASTE
Vanligt folk har fått stå tillbaka medan de rika har blivit allt rikare. Läs riksdagskandidat Robert Armblads debattartikel om hur vi kan skapa ett samhälle som är till för oss alla och inte bara de rikaste:
http://www.smp.se/debatt/ett-sverige-for-alla-inte-bara-for-de-rikaste/ …","vansterpartiet"
"43","Man kan lita på var man har vänstern! #dagensjonas del 2","vansterpartiet"
"44","Blir mycket Utøya idag, det kan inte hjälpas. Det tynger hjärtat, mer än jag trodde att det skulle så här sju år senare. Intervjuades av TV4 i morse. Kolla gärna.","vansterpartiet"
"45","Det tackar vi för. Tillsammans kan vi gör Sverige till världens mest jämlika land igen.","vansterpartiet"
"46","Vänsterpartiet vill öka jämlikheten och bättra på välfärden. Det görs bäst med en välskött ekonomi som man får med vänstersamarbete.","vansterpartiet"
"47","#dagensjonas del 1","vansterpartiet"
"48","Vi behöver få in mer skattepengar, för att kunna investera där behoven är uppenbara. Det gäller både välfärden och att vi rustar genom att investera i infrastruktur och inte minst bygga fler bostäder. Se debatt om bästa jobbpolitiken med @aliesbati","vansterpartiet"
"49","Den personliga assistansen är en rättighet. Det handlar om att vi ska vara ett jämlikt land som behandlar folk värdigt. Regeringens press på att skära ner på LSS måste få ett slut.","vansterpartiet"
"50","Jonas Sjöstedt besökte skogsbranden i Torgås: ”Vi måste öka vår kapacitet att bekämpa bränderna”. https://www.dalademokraten.se/artikel/dalarna/malung-salen/jonas-sjostedt-besokte-skogsbranden-i-torgas-vi-maste-oka-var-kapacitet-att-bekampa-branderna …","vansterpartiet"
"51","Pustar ut efter en bra vecka med @vansterpartiet i Malung och besök av Jonas Sjöstedt. Många bra samtal om behovet av ett mer #jämlikt Sverige. #V2018  #Dalarna #landsbygd  @dansbandsveckan","vansterpartiet"
"52","- Jag vill se det med egna ögon och se vad man kan dra för lärdomar av det. Jag vill få tillfälle att tacka folk för vad dom gör, sa @jsjostedt när han besökte skogsbränderna i Torgås.","vansterpartiet"
"53","Vänsterpartiet vill lägga 300 miljoner på avgiftsfri kulturskola https://www.svt.se/kultur/vansterpartiet-vill-storsatsa-pa-gratis-kulturskola-enligt-ett-nytt-uttalande?cmpid=del:tw:20180720:vansterpartiet-vill-storsatsa-pa-gratis-kulturskola-enligt-ett-nytt-uttalande:nyh:lp … via @svtnyheter","vansterpartiet"
"54","Alla barn som drömmer om att lära sig spela gitarr, dansa eller spela teater ska ha möjlighet att göra det. Vänsterpartiet vill därför satsa 300 miljoner kronor per år och på avgiftsfri kulturskola och utvecklingsstöd.","vansterpartiet"
"55","KRÖNIKA/OPINION: ”Ständigt påminns jag om att såna som mig inte är fullt ut accepterade”, skriver @rossa_d, @vansterpartiet, och ifrågasätter behovet av ett organiseringsförbud för att bekämpa nazism. https://feministisktperspektiv.se/2018/07/20/granserna-vad-som-ar-socialt-accepterat-har-forflyttats/ …
<U+261E> FREDAGSNUMRET RULLAR UT!","vansterpartiet"
"56","Lite lättsam sommarläsning med en påminnelse om att Moderaterna varit motståndare till varje utvidgning av demokrati och välfärd sedan de bildades. ","vansterpartiet"
"57","äntligen nån som vågar vända på ""varför har du en mobil om du e socialist""-tramset:","vansterpartiet"
"58","Vad ska växa, och inte? Intervjuas i Sveriges Radio om Vs klimatpolitik.","vansterpartiet"
"59","En av många fina framgångar i budgeten signerad @AnderssonUlla och @vansterpartiet","vansterpartiet"
"60","Varför tar du semester Ulf Kristersson? Vår arbetsmarknadspolitiska telesperson @aliesbati konstaterar att Moderaterna varit emot de flesta reformer som gjort livet bättre för vanligt folk","vansterpartiet"
"61","Kom och träffa Vänsterpartiets Jonas Sjöstedt imorgon (fre) på Dansbandsveckan i Malung. Han kommer att hänga på Wille Toors torg i Malung mellan kl 13 - 15. Välkommen! 
Ett Sverige för alla - inte bara de rikaste #V2018","vansterpartiet"
"62","När Vänsterpartiet levererar! ","vansterpartiet"
"63","Som vänsterpartister ser vi det absurda i att en stor del av sjukvården nu är ute på börsförsäljning. Vi tycker inte att vården ska vara vilken marknad som helst, skriver @ragsjo och @Jornehed från @vansterpartiet. 
https://www.dagenssamhalle.se/debatt/v-absurt-att-salja-sjukvarden-pa-borsen-23166 … #vardpol","vansterpartiet"
"64","– Jag känner stor tacksamhet för all räddningspersonal och alla frivilliga som sliter i de stekheta skogarna, säger Jonas Sjöstedt.","vansterpartiet"
"65","Om du behöver ytterligare övertalning om att rösta på Vänsterpartiet i höst - hör Jonas Sjöstedt i Allt Du Velat Veta och bli övertygad: https://www.acast.com/alltduvelatveta/149omvansterpartietmedjonassjostedt ….","vansterpartiet"
"66","OPINION: ”Hur ska en lågavlönad ensamstående kvinna kunna få en lägenhet om ännu fler allmännyttiga hyresrätter försvinner”, undrar @AnnMargaLivh och Alexandra Mattsson Åkerström, @vansterpartiet.","vansterpartiet"
"67","För Vänsterpartiet är sex timmars arbetsdag en jämlikhetsreform och lösningen på de ohållbara arbetsvillkoren för kvinnor i välfärden.","vansterpartiet"
